"Action date","Post views","Unique visitors","Comments","Likes","Shares"
"21/12/2025","1","1","0","0","0"
"20/12/2025","1","1","0","0","0"
"19/12/2025","2","2","0","0","0"
"18/12/2025","7","5","0","0","0"
"17/12/2025","6","5","0","0","0"
"16/12/2025","4","3","0","0","0"
"15/12/2025","3","3","0","0","0"
"14/12/2025","1","1","0","0","0"
"13/12/2025","2","2","0","0","0"
"12/12/2025","3","3","0","0","0"
"11/12/2025","3","3","0","0","0"
"10/12/2025","5","5","0","0","0"
"9/12/2025","1","1","0","0","0"
"5/12/2025","2","2","0","0","0"
"4/12/2025","2","2","0","0","0"
"3/12/2025","2","2","0","0","0"
"2/12/2025","3","3","0","0","0"
"30/11/2025","4","4","0","0","0"
"29/11/2025","1","1","0","0","0"
"28/11/2025","1","1","0","0","0"
"27/11/2025","2","2","0","0","0"
"26/11/2025","2","1","0","0","0"
"25/11/2025","2","2","0","0","0"
"24/11/2025","2","2","0","0","0"
"23/11/2025","5","4","0","0","0"
"22/11/2025","1","1","0","0","0"
"21/11/2025","2","2","0","0","0"
"20/11/2025","5","2","0","0","0"
"19/11/2025","11","4","0","0","2"
"18/11/2025","8","6","0","0","0"
"17/11/2025","19","13","0","0","0"
"16/11/2025","1","1","0","0","0"
"15/11/2025","2","1","0","0","0"
"14/11/2025","7","5","0","0","0"
"13/11/2025","8","8","0","0","0"
"12/11/2025","1","1","0","0","0"
"11/11/2025","24","7","0","0","2"
"6/11/2025","3","2","0","0","0"
"31/10/2025","1","1","0","0","0"
"30/10/2025","4","1","0","0","3"
